query_id,nya_total,nya_anaphoric,entity_referenced,sensitivity_score,tertile
3,1,1,0,3,low
4,0,0,0,0,low
11,3,3,1,12,mid
17,2,2,1,9,low
19,3,3,0,9,low
21,7,7,0,21,mid
22,6,6,0,18,mid
30,1,1,0,3,low
34,2,2,1,9,low
41,4,4,0,12,mid
46,1,1,0,3,low
53,9,9,0,27,high
55,0,0,0,0,low
58,3,3,0,9,low
60,1,1,1,6,low
76,3,3,0,9,low
78,14,14,1,45,high
79,21,21,1,66,high
95,0,0,0,0,low
98,16,16,0,48,high
108,15,15,0,45,high
109,2,2,0,6,low
111,9,7,1,26,high
121,22,22,0,66,high
128,4,4,0,12,mid
131,6,6,0,18,mid
149,8,8,1,27,high
150,0,0,0,0,low
156,20,20,0,60,high
161,6,6,0,18,mid
163,8,8,1,27,high
167,6,6,1,21,mid
169,0,0,0,0,low
170,9,9,0,27,high
172,4,4,0,12,mid
176,5,5,0,15,mid
178,19,19,0,57,high
203,12,12,0,36,high
204,6,6,0,18,mid
205,11,11,1,36,high
211,6,6,1,21,mid
218,12,12,1,39,high
220,2,2,0,6,low
226,6,6,1,21,mid
229,12,12,1,39,high
237,1,1,0,3,low
254,4,4,0,12,mid
293,11,11,1,36,high
297,5,5,1,18,mid
298,30,30,0,90,high
309,15,15,1,48,high
310,0,0,0,0,low
316,12,12,0,36,high
319,16,16,1,51,high
320,8,8,0,24,high
324,4,4,1,15,mid
346,1,1,0,3,low
358,0,0,0,0,low
361,10,10,0,30,high
363,20,20,0,60,high
364,5,5,1,18,mid
367,9,9,0,27,high
369,6,6,0,18,mid
389,9,9,1,30,high
405,7,7,0,21,mid
409,4,4,1,15,mid
419,5,5,1,18,mid
423,5,5,0,15,mid
427,26,26,1,81,high
429,5,5,0,15,mid
450,5,5,1,18,mid
455,9,9,1,30,high
466,1,0,0,1,low
467,1,1,0,3,low
478,20,20,1,63,high
480,2,2,0,6,low
486,10,10,0,30,high
494,2,2,0,6,low
502,5,5,1,18,mid
506,2,2,1,9,low
521,16,16,0,48,high
539,7,7,1,24,high
555,8,8,0,24,high
558,6,6,0,18,mid
559,1,1,0,3,low
567,4,4,1,15,mid
568,9,9,1,30,high
571,1,1,1,6,low
575,4,4,1,15,mid
577,0,0,0,0,low
611,10,10,0,30,high
613,11,11,1,36,high
614,5,5,0,15,mid
622,1,1,1,6,low
628,0,0,0,0,low
633,0,0,0,0,low
640,5,5,0,15,mid
642,0,0,0,0,low
652,0,0,0,0,low
659,9,9,0,27,high
662,0,0,0,0,low
672,6,6,1,21,mid
673,6,6,0,18,mid
675,5,5,1,18,mid
676,1,1,1,6,low
679,0,0,0,0,low
694,13,13,1,42,high
698,4,4,0,12,mid
700,0,0,0,0,low
701,5,5,1,18,mid
706,4,4,1,15,mid
708,4,4,0,12,mid
709,1,1,1,6,low
712,13,13,1,42,high
713,1,1,1,6,low
721,11,11,0,33,high
724,0,0,0,0,low
730,16,16,1,51,high
731,0,0,0,0,low
734,4,4,0,12,mid
736,11,11,1,36,high
741,5,5,1,18,mid
746,8,5,0,18,mid
751,4,4,0,12,mid
758,5,4,0,13,mid
759,0,0,0,0,low
773,5,5,0,15,mid
776,5,5,0,15,mid
778,8,8,1,27,high
779,10,10,0,30,high
781,22,21,1,67,high
782,1,1,0,3,low
785,4,4,0,12,mid
789,14,14,0,42,high
808,8,8,0,24,high
816,3,3,1,12,mid
821,4,4,1,15,mid
830,2,2,1,9,low
841,7,7,0,21,mid
845,15,15,1,48,high
849,9,9,1,30,high
859,8,8,1,27,high
867,12,12,0,36,high
868,3,3,1,12,mid
869,6,6,0,18,mid
879,17,17,0,51,high
881,2,2,1,9,low
894,15,12,1,42,high
896,11,10,1,34,high
899,13,13,0,39,high
