query_id,condition,ndcg@1,ndcg@10,recall@10,mrr@100,recall@100
3,bm25__naive_strip,1.0,0.6131471927654584,0.5,1.0,0.5
4,bm25__naive_strip,1.0,1.0,1.0,1.0,1.0
11,bm25__naive_strip,1.0,0.9060254355346823,1.0,1.0,1.0
17,bm25__naive_strip,0.0,0.6240505200038379,1.0,0.5,1.0
19,bm25__naive_strip,0.0,0.0,0.0,0.034482758620689655,1.0
21,bm25__naive_strip,0.0,0.6934264036172708,1.0,0.5,1.0
22,bm25__naive_strip,0.0,0.6309297535714575,1.0,0.5,1.0
30,bm25__naive_strip,0.0,0.448643819352159,1.0,0.25,1.0
34,bm25__naive_strip,0.0,0.38685280723454163,1.0,0.2,1.0
41,bm25__naive_strip,0.0,0.0,0.0,0.013333333333333334,0.5
46,bm25__naive_strip,0.0,0.0,0.0,0.0,0.0
53,bm25__naive_strip,1.0,0.5151254397262444,0.5,1.0,1.0
55,bm25__naive_strip,0.0,0.6309297535714575,1.0,0.5,1.0
58,bm25__naive_strip,1.0,0.6366824387328317,0.5,1.0,1.0
60,bm25__naive_strip,0.0,0.5,1.0,0.3333333333333333,1.0
76,bm25__naive_strip,0.0,0.0,0.0,0.058823529411764705,1.0
78,bm25__naive_strip,1.0,0.4412576003965278,0.4,1.0,1.0
79,bm25__naive_strip,0.0,0.5056427642465516,0.6,0.5,0.9
95,bm25__naive_strip,0.0,0.38685280723454163,1.0,0.2,1.0
98,bm25__naive_strip,0.0,0.44407940125847906,1.0,0.16666666666666666,1.0
108,bm25__naive_strip,1.0,0.8020378746650064,0.7142857142857143,1.0,1.0
109,bm25__naive_strip,0.0,0.0,0.0,0.02631578947368421,1.0
111,bm25__naive_strip,0.0,0.7045057227504283,1.0,0.5,1.0
121,bm25__naive_strip,0.0,0.17947710508581735,0.2,0.3333333333333333,1.0
128,bm25__naive_strip,0.0,0.0,0.0,0.041666666666666664,1.0
131,bm25__naive_strip,0.0,0.2960819109658652,0.3333333333333333,0.5,1.0
149,bm25__naive_strip,1.0,0.6364391809889587,0.6666666666666666,1.0,1.0
150,bm25__naive_strip,0.0,0.43067655807339306,1.0,0.25,1.0
