retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
bge_m3,bge_m3__keep,bge_m3__naive_strip,ndcg@10,less,960,-0.0011651310785060287,11679.5,0.26901659954198437,1.0,10,-0.0015071614583333332,-0.004257090628793676,0.0018359051335828725
bge_m3,bge_m3__keep,bge_m3__rule_resolved,ndcg@10,two-sided,960,-0.002044733342686759,23773.5,0.21419332908151678,1.0,10,-0.004887152777777778,-0.00587487679504656,0.0018354965139668151
bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,ndcg@10,two-sided,960,-0.00025141388842770117,4371.5,0.19195170531941885,1.0,10,-0.0010167100694444444,-0.002500553217447397,0.0018300460836679104
bge_m3,bge_m3__keep,bge_m3__sentinel,ndcg@10,two-sided,960,2.8183880767256262e-05,24572.0,0.9230590176677775,1.0,10,-0.0003352864583333333,-0.003431466833163182,0.003622486050011435
bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,ndcg@10,two-sided,960,-0.0008796022641807305,26111.5,0.21769820170307586,1.0,10,-0.003576388888888889,-0.005331054083759714,0.0035282464070461378
bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,ndcg@10,two-sided,960,0.0009137171900783281,5672.5,0.5946273182654123,1.0,10,0.0004069010416666667,-0.0017959996985110267,0.003717369905464439
bge_m3,bge_m3__naive_strip,bge_m3__sentinel,ndcg@10,two-sided,960,0.0011933149592732847,21298.0,0.7167528016913045,1.0,10,0.001103515625,-0.0024455563575451005,0.00496130535332548
bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,ndcg@10,two-sided,960,0.0017933194542590586,23433.0,0.04813681507341711,0.4813681507341711,10,0.003934461805555556,-0.002558127449618308,0.00601059031971653
bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,ndcg@10,two-sided,960,0.0020729172234540158,29080.0,0.388788986940664,1.0,10,0.004578993055555556,-0.0018420015346967717,0.005994010877252357
bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,ndcg@10,two-sided,960,0.0002795977691949571,23044.0,0.5027421463206796,1.0,10,0.0007628038194444444,-0.0035102809025193554,0.004146909487672272
