condition,mean,std,count,missing
bge_m3__naive_strip,0.6732783856466256,0.3875416034722733,960,0
bge_m3__sentinel,0.6729811524548107,0.38836514533776034,960,0
bge_m3__keep,0.6725617734787974,0.3874412986935381,960,0
bge_m3__rule_resolved,0.672002638306764,0.3877331990021058,960,0
bge_m3__sastrawi_clitic,0.6711823860610011,0.38752061111496144,960,0
bm25__naive_strip,0.5386848032246409,0.40909028414488213,960,0
bm25__keep,0.5378638155753216,0.4093540245670183,960,0
bm25__sastrawi_clitic,0.5377855786828226,0.40936557801097695,960,0
bm25__sentinel,0.5350691578121859,0.4082612648251158,960,0
bm25__rule_resolved,0.5326856629722035,0.41011532644950693,960,0
