condition,mean,std,count,missing
bge_m3__sentinel,0.5603249164753207,0.32419876534315395,960,0
bge_m3__keep,0.5602967325945534,0.3243136586410796,960,0
bge_m3__sastrawi_clitic,0.5600453187061257,0.32313719779758243,960,0
bge_m3__naive_strip,0.5591316015160473,0.3241265439749272,960,0
bge_m3__rule_resolved,0.5582519992518667,0.3234229421027,960,0
bm25__naive_strip,0.4494974229115041,0.33864458876909637,960,0
bm25__sastrawi_clitic,0.44895533391760606,0.33872099412620493,960,0
bm25__keep,0.4485649484202022,0.33850412753868764,960,0
bm25__sentinel,0.4468995148110175,0.33950003026826625,960,0
bm25__rule_resolved,0.44131941861461316,0.33383299278655804,960,0
