condition,mean,std,count,missing
bm25__sentinel,0.9057733585858585,0.2294234480046984,960,0
bm25__rule_resolved,0.9053893473424723,0.2290276517659295,960,0
bm25__sastrawi_clitic,0.9045737884800384,0.2313012130883124,960,0
bge_m3__sastrawi_clitic,0.9042982307044807,0.21949886059721493,960,0
bm25__keep,0.9040529551467051,0.2313516294286325,960,0
bge_m3__keep,0.9040365739584489,0.21864565555872975,960,0
bge_m3__naive_strip,0.9037952094202094,0.22155395846828888,960,0
bm25__naive_strip,0.9037491357022608,0.23369103217953596,960,0
bge_m3__rule_resolved,0.902240939037814,0.22068290051838907,960,0
bge_m3__sentinel,0.9019383972508972,0.22308386054811477,960,0
