tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
low,bge_m3,bge_m3__keep,bge_m3__naive_strip,mrr@100,less,331,-0.0006046069904137736,609.0,0.2330912375093579,1.0,10,-0.0013599729830870474,-0.007002187609111491,0.005812490890217748
low,bge_m3,bge_m3__keep,bge_m3__rule_resolved,mrr@100,two-sided,331,0.004159239071295411,923.5,0.17813593131955618,1.0,10,0.006215715446189794,-0.002638677844336273,0.011744032029249207
low,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,mrr@100,two-sided,331,-0.00352529919321771,362.0,0.901877132128946,1.0,10,-0.004198574310201623,-0.01080886000273071,0.0014789754807978358
low,bge_m3,bge_m3__keep,bge_m3__sentinel,mrr@100,two-sided,331,0.00562649564751167,885.5,0.2216236024593935,1.0,10,0.007037175637316199,-0.0003932589929239938,0.012658267012112935
low,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,mrr@100,two-sided,331,0.004763846061709185,1063.5,0.38913894265317184,1.0,10,0.00737488704922372,-0.0036812614138174446,0.013853325658725374
low,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,mrr@100,two-sided,331,-0.0029206922028039367,516.5,0.46332280728488806,1.0,10,-0.0028842380043993757,-0.01094130815372518,0.0037444106674407577
low,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,mrr@100,two-sided,331,0.006231102637925444,954.0,0.3330817490533484,1.0,10,0.008187219904893165,0.00024133561181859017,0.013275312036180837
low,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,mrr@100,two-sided,331,-0.007684538264513122,983.5,0.18040130755674033,1.0,10,-0.010359525743649657,-0.017912775749190497,0.001221919013450512
low,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,mrr@100,greater,331,0.0014672565762162606,1489.0,0.5253087534152192,1.0,10,0.0009948795648086453,-0.006209501346313278,0.009568151948433627
low,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,mrr@100,two-sided,331,0.009151794840729381,941.5,0.1571142381649249,1.0,10,0.011308768631173501,0.000989659636316992,0.018915549269489088
low,bm25,bm25__keep,bm25__naive_strip,mrr@100,less,331,0.0005166371939169153,55.0,0.053715279132126904,0.537152791321269,10,0.0005750221337884831,-0.00012929500374180477,0.0016370720878267396
low,bm25,bm25__keep,bm25__rule_resolved,mrr@100,two-sided,331,-0.01821946058906996,1788.5,6.071056744149718e-06,6.0710567441497185e-05,10,-0.01978806327068939,-0.031947122741450514,-0.00514621396786037
low,bm25,bm25__keep,bm25__sastrawi_clitic,mrr@100,two-sided,331,0.0002868795353689614,2.0,0.13801073756865953,1.0,10,0.00046549410830496254,-2.1567053289108733e-06,0.0008335986772542661
low,bm25,bm25__keep,bm25__sentinel,mrr@100,two-sided,331,0.0036305406774080873,1130.5,0.2264642229684667,1.0,10,0.003879117569208021,-0.0015246935831325465,0.00987265182761381
low,bm25,bm25__naive_strip,bm25__rule_resolved,mrr@100,two-sided,331,-0.01873609778298687,1827.5,2.342523145093303e-06,2.3425231450933028e-05,10,-0.02029919405627915,-0.03261480051583385,-0.005642220996779916
low,bm25,bm25__naive_strip,bm25__sastrawi_clitic,mrr@100,two-sided,331,-0.00022975765854795405,67.0,0.4204264735837405,1.0,10,-0.00010040069002656055,-0.0015238421562187106,0.0007422938930349545
