tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
low,bge_m3,bge_m3__keep,bge_m3__naive_strip,ndcg@10,less,331,-0.0012177049564413393,380.5,0.5576670983438963,1.0,10,-0.003358859448161298,-0.006948793059395274,0.004273711110979713
low,bge_m3,bge_m3__keep,bge_m3__rule_resolved,ndcg@10,two-sided,331,0.0030700729914773027,458.5,0.3701986726015767,1.0,10,0.004335484342056024,-0.00200924396493777,0.008754620400760419
low,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,ndcg@10,two-sided,331,-0.001035453508538839,159.0,0.4710153544355088,1.0,10,-0.0027108186307171346,-0.005443718307452353,0.002699910206466953
low,bge_m3,bge_m3__keep,bge_m3__sentinel,ndcg@10,two-sided,331,0.004750656586554928,598.0,0.29819499227509894,1.0,10,0.006078805414335393,-0.0009622095754443536,0.010836721898514305
low,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,ndcg@10,two-sided,331,0.004287777947918642,558.5,0.5910511282284996,1.0,10,0.00734750504285284,-0.002468219416650251,0.011669497116495321
low,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,ndcg@10,two-sided,331,0.00018225144790249992,141.5,0.5719560800335513,1.0,10,0.0003012020700796816,-0.005267265590658864,0.005457454405785506
low,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,ndcg@10,two-sided,331,0.005968361542996265,329.0,0.1883206270711839,1.0,10,0.00927337282427141,0.0009241610200395148,0.011675017428062363
low,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,ndcg@10,two-sided,331,-0.004105526500016141,658.0,0.9626128076902496,1.0,10,-0.007073684979144039,-0.011123588344150575,0.0021055016707006184
low,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,ndcg@10,greater,331,0.001680583595077624,750.0,0.6523521218621943,1.0,10,0.0017524484077363295,-0.004690171025419087,0.008307620706466021
low,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,ndcg@10,two-sided,331,0.005786110095093766,569.0,0.3781426431891104,1.0,10,0.008990425425105648,-0.0006756300758158637,0.012719982917482685
low,bm25,bm25__keep,bm25__naive_strip,ndcg@10,less,331,0.0002606728388343042,7.0,0.231535507507294,1.0,10,0.0002008013800531211,-0.00013215163362511944,0.000870544351532909
low,bm25,bm25__keep,bm25__rule_resolved,ndcg@10,two-sided,331,-0.01872897948429501,804.5,2.026373161614372e-05,0.0002026373161614372,10,-0.02605854272962094,-0.028917155500414567,-0.009143123613628217
low,bm25,bm25__keep,bm25__sastrawi_clitic,ndcg@10,two-sided,331,0.0002611219334438648,0.0,0.17971249487899976,1.0,10,0.0003468387473644819,0.0,0.000731680247330651
low,bm25,bm25__keep,bm25__sentinel,ndcg@10,two-sided,331,0.0011099988368921646,291.0,0.6942168319105042,1.0,10,0.0005841494692454431,-0.002548530784705773,0.005091641512818348
low,bm25,bm25__naive_strip,bm25__rule_resolved,ndcg@10,two-sided,331,-0.018989652323129318,831.5,1.2698529355775157e-05,0.00012698529355775157,10,-0.026314108122415823,-0.02921184202213557,-0.00937419601286683
low,bm25,bm25__naive_strip,bm25__sastrawi_clitic,ndcg@10,two-sided,331,4.4909460956058477e-07,10.0,0.916511907863894,1.0,10,0.00014603736731136078,-0.0006973890512745868,0.0006483530367758341
low,bm25,bm25__naive_strip,bm25__sentinel,ndcg@10,two-sided,331,0.0008493259980578604,273.0,0.893389336271917,1.0,10,0.00041073009556320226,-0.0027146104711499425,0.004784033461928075
low,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,ndcg@10,greater,331,0.018990101417738874,796.5,0.9999913941455981,1.0,10,0.026451018154270225,0.009371857555775139,0.029156266860716904
low,bm25,bm25__rule_resolved,bm25__sentinel,ndcg@10,two-sided,331,0.019838978321187174,933.0,3.286028091355088e-05,0.0003286028091355088,10,0.026688328876151184,0.009232339514133107,0.031053300475564004
low,bm25,bm25__sastrawi_clitic,bm25__sentinel,ndcg@10,two-sided,331,0.0008488769034482998,310.0,0.9347219969550314,1.0,10,0.00018254670913920098,-0.002803435971806329,0.004866153669556454
mid,bge_m3,bge_m3__keep,bge_m3__naive_strip,ndcg@10,less,269,-0.0030933982514893647,587.0,0.3129392663716313,1.0,10,-0.005209988806124846,-0.008769928437702811,0.002048455572045288
mid,bge_m3,bge_m3__keep,bge_m3__rule_resolved,ndcg@10,two-sided,269,-0.007440112133213585,1687.0,0.25947530565273524,1.0,10,-0.01633476596509169,-0.01701404745620615,0.0016676311519658092
mid,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,ndcg@10,two-sided,269,0.0021981355011171156,112.5,0.039282565238303445,0.39282565238303446,10,0.003980044499108636,-0.0011231929538320089,0.0055349892482310795
mid,bge_m3,bge_m3__keep,bge_m3__sentinel,ndcg@10,two-sided,269,-0.004259443263377874,1475.5,0.3837188883327075,1.0,10,-0.008595790550158234,-0.011465708034120139,0.002665903992079078
mid,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,ndcg@10,two-sided,269,-0.00434671388172422,1654.0,0.3511881038173055,1.0,10,-0.011152416356877323,-0.0141522189826452,0.0051678975361899235
mid,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,ndcg@10,two-sided,269,0.00529153375260648,246.0,0.171655282994571,1.0,10,0.009245311701054436,0.0008735781568847554,0.01054932981355091
mid,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,ndcg@10,two-sided,269,-0.0011660450118885098,1161.5,0.2987642026619627,1.0,10,-0.0036621937231381546,-0.009068557875913649,0.006639797939562131
mid,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,ndcg@10,two-sided,269,0.0096382476343307,1439.5,0.044606611801425035,0.44606611801425033,10,0.02072939843285748,0.0005360797042731088,0.019381491495254408
mid,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,ndcg@10,greater,269,0.0031806688698357097,2003.0,0.639161403028133,1.0,10,0.007462583435828693,-0.004893970754620066,0.011666800676135024
mid,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,ndcg@10,two-sided,269,-0.00645757876449499,1030.0,0.036989666121574574,0.3698966612157457,10,-0.012714031038819254,-0.013597498779739809,0.00047539208672601856
mid,bm25,bm25__keep,bm25__naive_strip,ndcg@10,less,269,0.0008385920692058971,36.5,0.1575276003410495,1.0,10,0.0009811915258219207,-0.0013148859937005238,0.002938446111092409
