tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
low,bge_m3,bge_m3__keep,bge_m3__naive_strip,recall@100,less,331,-0.0030211480362537764,1.0,0.8413447460685429,1.0,10,-0.0031945674099360176,-0.00906344410876133,0.0
low,bge_m3,bge_m3__keep,bge_m3__rule_resolved,recall@100,two-sided,331,-0.0010070493454179255,0.0,0.31731050786291415,1.0,10,-0.00018254670913920098,-0.0030211480362537764,0.0
low,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,recall@100,two-sided,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bge_m3,bge_m3__keep,bge_m3__sentinel,recall@100,two-sided,331,-0.008056394763343404,1.0,0.07688120490870529,0.7688120490870529,10,-0.00935551884338405,-0.018630412890231624,0.0
low,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,recall@100,two-sided,331,0.0020140986908358514,1.0,0.6547208460185769,1.0,10,0.0030028933653398564,-0.0030211480362537764,0.00906344410876133
low,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,recall@100,two-sided,331,0.0030211480362537764,0.0,0.31731050786291415,1.0,10,0.0031945674099360176,0.0,0.00906344410876133
low,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,recall@100,two-sided,331,-0.005035246727089627,1.0,0.14077277337135014,1.0,10,-0.006160951433448033,-0.013595166163141994,0.0010070493454179255
low,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,recall@100,two-sided,331,0.0010070493454179255,0.0,0.31731050786291415,1.0,10,0.00018254670913920098,0.0,0.0030211480362537764
low,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,recall@100,greater,331,-0.007049345417925479,12.0,0.11033568095992347,1.0,10,-0.00915471746333093,-0.01812688821752266,0.002014098690835851
low,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,recall@100,two-sided,331,-0.008056394763343404,1.0,0.07688120490870529,0.7688120490870529,10,-0.00935551884338405,-0.018630412890231624,0.0
low,bm25,bm25__keep,bm25__naive_strip,recall@100,less,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bm25,bm25__keep,bm25__rule_resolved,recall@100,two-sided,331,0.006042296072507553,0.0,0.15729920705028502,1.0,10,0.006334370807130275,0.0,0.015105740181268883
low,bm25,bm25__keep,bm25__sastrawi_clitic,recall@100,two-sided,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bm25,bm25__keep,bm25__sentinel,recall@100,two-sided,331,0.004531722054380665,0.0,0.17971249487899976,1.0,10,0.006051423407964513,0.0,0.012084592145015106
