retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
bge_m3,bge_m3__keep,bge_m3__naive_strip,mrr@100,less,960,0.0007166121678282213,4063.0,0.09801196312275329,0.9801196312275329,10,0.0006673177083333333,-0.004330668927223792,0.005619107162690614
bge_m3,bge_m3__keep,bge_m3__rule_resolved,mrr@100,two-sided,960,-0.000559135172033482,8546.5,0.7434246816109911,1.0,10,-0.0006119791666666667,-0.007118818822387864,0.005911631084145096
bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,mrr@100,two-sided,960,-0.001379387417796262,1906.0,0.36416624722654545,1.0,10,-0.001959635416666667,-0.005150446724632872,0.0019435265218557662
bge_m3,bge_m3__keep,bge_m3__sentinel,mrr@100,two-sided,960,0.00041937897601324834,7858.5,0.8764434972406989,1.0,10,0.0006282552083333333,-0.005213058434986524,0.006051716034087335
bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,mrr@100,two-sided,960,-0.0012757473398617028,8582.5,0.5997011320102779,1.0,10,-0.0012641059027777778,-0.008711435862266604,0.006308100952779873
bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,mrr@100,two-sided,960,-0.0020959995856244824,2717.0,0.592852166490394,1.0,10,-0.0026497395833333334,-0.006679434976497725,0.002220327617050571
bge_m3,bge_m3__naive_strip,bge_m3__sentinel,mrr@100,two-sided,960,-0.0002972331918149735,6708.0,0.624709763688144,1.0,10,-7.486979166666666e-05,-0.006551630177713348,0.005886266553355669
bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,mrr@100,two-sided,960,-0.00082025224576278,8302.5,0.6807190764413198,1.0,10,-0.001357421875,-0.008163088036085547,0.0063307753563997616
bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,mrr@100,greater,960,0.0009785141480467294,9379.0,0.5399450924388286,1.0,10,0.0011968315972222222,-0.005855075638265605,0.00787392991058197
bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,mrr@100,two-sided,960,0.0017987663938095104,7605.0,0.9910038622461226,1.0,10,0.002578125,-0.004611828065413393,0.008378818673262534
bm25,bm25__keep,bm25__naive_strip,mrr@100,less,960,0.0008209876493193093,773.0,0.19891929347639137,1.0,10,0.0008734809027777778,0.00010488561442996843,0.0016840191282906742
bm25,bm25__keep,bm25__rule_resolved,mrr@100,two-sided,960,-0.005178152603118047,21322.5,0.00016563784753816104,0.0016563784753816104,10,-0.0065299479166666665,-0.014031346496304244,0.0038483987193715942
bm25,bm25__keep,bm25__sastrawi_clitic,mrr@100,two-sided,960,-7.823689249888514e-05,121.5,0.6157549270896336,1.0,10,-9.114583333333334e-05,-0.0006030037708366775,0.000420387817055647
bm25,bm25__keep,bm25__sentinel,mrr@100,two-sided,960,-0.002794657763135693,8483.0,0.02563631962063505,0.2563631962063505,10,-0.0035091145833333333,-0.007234267885012725,0.0017311876695458334
bm25,bm25__naive_strip,bm25__rule_resolved,mrr@100,two-sided,960,-0.005999140252437357,20431.5,5.2906495409245004e-05,0.00052906495409245,10,-0.007430555555555556,-0.01488037990095239,0.0031416120754516326
bm25,bm25__naive_strip,bm25__sastrawi_clitic,mrr@100,two-sided,960,-0.0008992245418181944,426.5,0.14556607959811163,1.0,10,-0.0009722222222222222,-0.0017906926428106619,-0.00017538797204571862
bm25,bm25__naive_strip,bm25__sentinel,mrr@100,two-sided,960,-0.0036156454124550022,7702.0,0.032785610126044515,0.3278561012604452,10,-0.004417317708333333,-0.008075906856928237,0.0009133358027195674
bm25,bm25__rule_resolved,bm25__sastrawi_clitic,mrr@100,greater,960,0.005099915710619161,20815.0,0.9999094874697555,1.0,10,0.006480034722222222,-0.0039896445807675275,0.013909841790033682
bm25,bm25__rule_resolved,bm25__sentinel,mrr@100,two-sided,960,0.0023834948399823535,25847.5,0.010194767922586953,0.10194767922586953,10,0.0031304253472222224,-0.007517634616047094,0.01202431727355994
bm25,bm25__sastrawi_clitic,bm25__sentinel,mrr@100,two-sided,960,-0.002716420870636808,8402.0,0.05700684282765783,0.5700684282765783,10,-0.0034353298611111112,-0.007122116077049282,0.0017492053499019826
