retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
bge_m3,bge_m3__keep,bge_m3__naive_strip,ndcg@1,less,960,0.0010416666666666667,90.0,0.4092729041910217,1.0,10,0.0010416666666666667,-0.008333333333333333,0.010416666666666666
bge_m3,bge_m3__keep,bge_m3__rule_resolved,ndcg@1,two-sided,960,0.0,232.5,1.0,1.0,10,0.0,-0.011458333333333333,0.011458333333333333
bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,ndcg@1,two-sided,960,-0.0020833333333333333,7.0,0.4142161782425253,1.0,10,-0.0020833333333333333,-0.007291666666666667,0.003125
bge_m3,bge_m3__keep,bge_m3__sentinel,ndcg@1,two-sided,960,0.0020833333333333333,137.5,0.6830913983096087,1.0,10,0.0020833333333333333,-0.007291666666666667,0.0125
bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,ndcg@1,two-sided,960,-0.0010416666666666667,380.0,0.8727801237939118,1.0,10,-0.0010416666666666667,-0.013541666666666667,0.011458333333333333
bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,ndcg@1,two-sided,960,-0.003125,48.0,0.4385780260809998,1.0,10,-0.003125,-0.011458333333333333,0.004166666666666667
bge_m3,bge_m3__naive_strip,bge_m3__sentinel,ndcg@1,two-sided,960,0.0010416666666666667,182.0,0.8473896596867143,1.0,10,0.0010416666666666667,-0.009375,0.011458333333333333
bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,ndcg@1,two-sided,960,-0.0020833333333333333,280.0,0.7316005889599013,1.0,10,-0.0020833333333333333,-0.013541666666666667,0.009375
bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,ndcg@1,greater,960,0.0020833333333333333,280.0,0.6341997055200493,1.0,10,0.0020833333333333333,-0.009375,0.014583333333333334
bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,ndcg@1,two-sided,960,0.004166666666666667,174.0,0.4496917979688909,1.0,10,0.004166666666666667,-0.00625,0.014583333333333334
bm25,bm25__keep,bm25__naive_strip,ndcg@1,less,960,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
bm25,bm25__keep,bm25__rule_resolved,ndcg@1,two-sided,960,-0.003125,675.0,0.6802795473344503,1.0,10,-0.003125,-0.017708333333333333,0.011458333333333333
bm25,bm25__keep,bm25__sastrawi_clitic,ndcg@1,two-sided,960,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
bm25,bm25__keep,bm25__sentinel,ndcg@1,two-sided,960,-0.005208333333333333,40.0,0.19670560245894686,1.0,10,-0.005208333333333333,-0.0125,0.003125
bm25,bm25__naive_strip,bm25__rule_resolved,ndcg@1,two-sided,960,-0.003125,675.0,0.6802795473344503,1.0,10,-0.003125,-0.017708333333333333,0.011458333333333333
bm25,bm25__naive_strip,bm25__sastrawi_clitic,ndcg@1,two-sided,960,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
bm25,bm25__naive_strip,bm25__sentinel,ndcg@1,two-sided,960,-0.005208333333333333,40.0,0.19670560245894686,1.0,10,-0.005208333333333333,-0.0125,0.003125
bm25,bm25__rule_resolved,bm25__sastrawi_clitic,ndcg@1,greater,960,0.003125,675.0,0.6598602263327749,1.0,10,0.003125,-0.011458333333333333,0.017708333333333333
bm25,bm25__rule_resolved,bm25__sentinel,ndcg@1,two-sided,960,-0.0020833333333333333,1007.5,0.8025873486341526,1.0,10,-0.0020833333333333333,-0.01875,0.013541666666666667
bm25,bm25__sastrawi_clitic,bm25__sentinel,ndcg@1,two-sided,960,-0.005208333333333333,40.0,0.19670560245894686,1.0,10,-0.005208333333333333,-0.0125,0.003125
