retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
bge_m3,bge_m3__keep,bge_m3__naive_strip,recall@10,less,960,-0.003116732804232804,496.5,0.877910934467862,1.0,10,-0.0045258246527777775,-0.008017185433201058,0.0013117352843915323
bge_m3,bge_m3__keep,bge_m3__rule_resolved,recall@10,two-sided,960,-0.0005539021164021166,1229.5,0.5054007282588211,1.0,10,-0.0009852430555555556,-0.0050417700066137565,0.0042201657572751294
bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,recall@10,two-sided,960,0.0009829695767195766,156.0,0.4271618488026905,1.0,10,0.0014149305555555556,-0.003018053488756613,0.004699146412037035
bge_m3,bge_m3__keep,bge_m3__sentinel,recall@10,two-sided,960,-0.00034846230158730153,862.0,0.8619965207884327,1.0,10,-0.0010069444444444444,-0.005539031498015873,0.004559451471560845
bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,recall@10,two-sided,960,0.002562830687830688,1744.0,0.7141557947116861,1.0,10,0.003576388888888889,-0.0028436569940476176,0.00862315021494709
bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,recall@10,two-sided,960,0.004099702380952381,142.5,0.038403775471206734,0.38403775471206736,10,0.005928819444444444,0.0005551008597883601,0.008254815641534392
bge_m3,bge_m3__naive_strip,bge_m3__sentinel,recall@10,two-sided,960,0.0027682705026455027,726.0,0.22926037586363257,1.0,10,0.0035601128472222223,-0.0020709532076719577,0.007789517195767193
bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,recall@10,two-sided,960,0.0015368716931216935,1219.5,0.2071008223168488,1.0,10,0.002390407986111111,-0.0038653893849206343,0.00664280547288359
bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,recall@10,greater,960,0.0002054398148148148,1253.0,0.7659381688563106,1.0,10,-0.00013346354166666666,-0.005664372519841269,0.005407603753306878
bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,recall@10,two-sided,960,-0.0013314318783068783,914.5,0.6632710814194562,1.0,10,-0.002361111111111111,-0.0067919353505291,0.004336195849867725
bm25,bm25__keep,bm25__naive_strip,recall@10,less,960,0.0009312996031746029,29.0,0.21558410300090253,1.0,10,0.001306423611111111,-0.0009983878968253957,0.002823722718253967
bm25,bm25__keep,bm25__rule_resolved,recall@10,two-sided,960,-0.004838789682539683,2328.5,0.402206121712114,1.0,10,-0.006551649305555555,-0.013154441550925926,0.0031070291832010545
bm25,bm25__keep,bm25__sastrawi_clitic,recall@10,two-sided,960,0.0006857638888888888,3.5,0.2785170238295782,1.0,10,0.001103515625,-0.00034722222222222224,0.001892361111111111
bm25,bm25__keep,bm25__sentinel,recall@10,two-sided,960,-0.003220486111111111,318.0,0.21461868533879958,1.0,10,-0.0049294704861111115,-0.008020957341269841,0.0012649429563492051
bm25,bm25__naive_strip,bm25__rule_resolved,recall@10,two-sided,960,-0.0057700892857142855,2247.5,0.2659515103164305,1.0,10,-0.007816840277777778,-0.014135788690476186,0.0023264612268518517
bm25,bm25__naive_strip,bm25__sastrawi_clitic,recall@10,two-sided,960,-0.0002455357142857141,12.5,0.7991427680420735,1.0,10,-0.0001996527777777778,-0.001780753968253968,0.0014136904761904762
bm25,bm25__naive_strip,bm25__sentinel,recall@10,two-sided,960,-0.004151785714285715,202.5,0.10298405572091109,1.0,10,-0.006236979166666667,-0.008578900049603173,6.575520833333311e-05
bm25,bm25__rule_resolved,bm25__sastrawi_clitic,recall@10,greater,960,0.005524553571428572,2221.0,0.8523204569205008,1.0,10,0.0076540798611111115,-0.002479435350529099,0.013781839037698413
bm25,bm25__rule_resolved,bm25__sentinel,recall@10,two-sided,960,0.0016183035714285713,2813.5,0.9446359931770358,1.0,10,0.0014973958333333334,-0.006575396825396825,0.010140966021825388
bm25,bm25__sastrawi_clitic,bm25__sentinel,recall@10,two-sided,960,-0.00390625,251.5,0.13009718801037867,1.0,10,-0.0060297309027777775,-0.008550378224206349,0.0005135788690476159
